Potential_Buyer,Target,bid,TP,Success,Round
NEW YORK METHODIST HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,1049330412,6,No,34
HOSPITAL FOR SPECIAL SURGERY,ST CATHERINE OF SIENA HOSPITAL,155096297,6,No,34
BELLEVUE HOSPITAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",275439358.1,7,No,34
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",261642256.6,7,No,34
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,SOUTHSIDE HOSPITAL,109734154.5,7,No,34
GLEN COVE HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",494122874.8,7,No,34
"ST FRANCIS HOSPITAL, ROSLYN",MERCY MEDICAL CENTER,847732925.5,7,No,34
NYU HOSPITALS CENTER,MERCY MEDICAL CENTER,849966934.9,7,No,34
UNIVERSITY HOSPITAL ( STONY BROOK ),FOREST HILLS HOSPITAL,130720312.1,7,No,34
MOUNT SINAI HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),833376533.1,7,No,34
MONTEFIORE MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,981018757.7,7,No,34
NEW YORK METHODIST HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,965530401.5,7,No,34
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,ST BARNABAS HOSPITAL,1259738438,7,No,34
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",312851196,8,No,34
MOUNT SINAI HOSPITAL,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,1054836554,8,No,34
"ST FRANCIS HOSPITAL, ROSLYN",NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,1101480590,8,No,34
JAMAICA HOSPITAL MEDICAL CENTER,LENOX HILL HOSPITAL,607338964.4,8,No,34
GLEN COVE HOSPITAL,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,384968705.5,8,No,34
NEW YORK METHODIST HOSPITAL,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,407188024,8,No,34
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,ST JOSEPH HOSPITAL,186502818.1,8,No,34
MONTEFIORE MEDICAL CENTER,ST JOSEPH HOSPITAL,180649082.6,8,No,34
BELLEVUE HOSPITAL CENTER,ST JOSEPH HOSPITAL,169401880.6,8,No,34
UNIVERSITY HOSPITAL ( STONY BROOK ),WOODHULL MEDICAL AND MENTAL HEALTH CENTER,823051720.7,8,No,34
MOUNT SINAI HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,551005954.4,9,No,34
MONTEFIORE MEDICAL CENTER,JAMAICA HOSPITAL MEDICAL CENTER,1854853397,9,No,34
BELLEVUE HOSPITAL CENTER,JAMAICA HOSPITAL MEDICAL CENTER,1790847960,9,No,34
NEW YORK METHODIST HOSPITAL,ST LUKE'S ROOSEVELT HOSPITAL,1197840893,9,No,34
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,GLEN COVE HOSPITAL,111546964.2,9,No,34
GLEN COVE HOSPITAL,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,409384323.2,9,No,34
"ST FRANCIS HOSPITAL, ROSLYN",BELLEVUE HOSPITAL CENTER,1993745552,9,No,34
KINGS COUNTY HOSPITAL CENTER,NYU HOSPITALS CENTER,2761853459,9,No,34
NEW YORK DOWNTOWN HOSPITAL,PENINSULA HOSPITAL CENTER,62061628.12,4,No,35
EASTERN LONG ISLAND HOSPITAL,PENINSULA HOSPITAL CENTER,61496515.9,4,No,35
STATEN ISLAND UNIVERSITY HOSPITAL,PENINSULA HOSPITAL CENTER,60174606.62,4,No,35
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,BRONX-LEBANON HOSPITAL CENTER,508710441.2,4,No,35
LONG ISLAND JEWISH MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,511838159.2,4,No,35
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),BRONX-LEBANON HOSPITAL CENTER,529553465.4,4,No,35
NEW YORK-PRESBYTERIAN HOSPITAL,JAMAICA HOSPITAL MEDICAL CENTER,333824161.4,4,No,35
NORTH SHORE UNIVERSITY HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59653250.06,4,No,35
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,HUNTINGTON HOSPITAL,187825804.7,4,No,35
LUTHERAN MEDICAL CENTER,HUNTINGTON HOSPITAL,190791794.1,4,No,35
BELLEVUE HOSPITAL CENTER,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,487592323.6,4,No,35
BRONX-LEBANON HOSPITAL CENTER,LONG ISLAND COLLEGE HOSPITAL,126083591.8,4,No,35
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,LONG ISLAND COLLEGE HOSPITAL,139697486.6,4,No,35
GLEN COVE HOSPITAL,LONG ISLAND COLLEGE HOSPITAL,152501137.3,4,No,35
ST JOSEPH HOSPITAL,LONG ISLAND COLLEGE HOSPITAL,129282588,4,No,35
LENOX HILL HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,788166574.5,4,No,35
NEW YORK METHODIST HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,794206074.4,4,No,35
HARLEM HOSPITAL CENTER,WINTHROP-UNIVERSITY HOSPITAL,732738787.7,4,No,35
PECONIC BAY MEDICAL CENTER,FLUSHING HOSPITAL MEDICAL CENTER,84117433.39,4,No,35
HUNTINGTON HOSPITAL,CONEY ISLAND HOSPITAL,185676724.4,4,No,35
"ST FRANCIS HOSPITAL, ROSLYN",CONEY ISLAND HOSPITAL,171902719.9,4,No,35
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,CONEY ISLAND HOSPITAL,188991664.3,4,No,35
PENINSULA HOSPITAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,92642578.36,4,No,35
NORTH CENTRAL BRONX HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,90930962.05,4,No,35
MONTEFIORE MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,1051716700,4,No,35
ELMHURST HOSPITAL CENTER,KINGS COUNTY HOSPITAL CENTER,1061329502,4,No,35
MAIMONIDES MEDICAL CENTER,KINGS COUNTY HOSPITAL CENTER,1075824998,4,No,35
LINCOLN MEDICAL & MENTAL HEALTH CENTER,BELLEVUE HOSPITAL CENTER,1121798082,4,No,35
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,BELLEVUE HOSPITAL CENTER,1070050313,4,No,35
MOUNT SINAI HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,477107397.7,4,No,35
SOUTH NASSAU COMMUNITIES HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,483422372.6,4,No,35
UNIVERSITY HOSPITAL ( STONY BROOK ),HOSPITAL FOR SPECIAL SURGERY,459688509.8,4,No,35
ST BARNABAS HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,471088406,4,No,35
WINTHROP-UNIVERSITY HOSPITAL,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,434279591.7,4,No,35
KINGS COUNTY HOSPITAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,437192925,4,No,35
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",FOREST HILLS HOSPITAL,57295917.89,4,No,35
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,57584979.85,4,No,35
BETH ISRAEL MEDICAL CENTER,UNIVERSITY HOSPITAL ( STONY BROOK ),837316765.7,4,No,35
CONEY ISLAND HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),907756366.4,4,No,35
NYU HOSPITALS CENTER,UNIVERSITY HOSPITAL ( STONY BROOK ),890845201,4,No,35
HOSPITAL FOR SPECIAL SURGERY,ST BARNABAS HOSPITAL,307293097.8,4,No,35
NORTH SHORE UNIVERSITY HOSPITAL,MOUNT SINAI HOSPITAL,1806295799,5,No,35
LONG ISLAND JEWISH MEDICAL CENTER,MOUNT SINAI HOSPITAL,1855232183,5,No,35
LUTHERAN MEDICAL CENTER,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,155810437,5,No,35
BELLEVUE HOSPITAL CENTER,ELMHURST HOSPITAL CENTER,650191856.9,5,No,35
LENOX HILL HOSPITAL,BETH ISRAEL MEDICAL CENTER,1041406754,5,No,35
STATEN ISLAND UNIVERSITY HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",531931230.1,5,No,35
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,"ST FRANCIS HOSPITAL, ROSLYN",529865028.2,5,No,35
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,METROPOLITAN HOSPITAL CENTER,125132732.8,5,No,35
MOUNT SINAI HOSPITAL,LUTHERAN MEDICAL CENTER,690016382.1,5,No,35
BETH ISRAEL MEDICAL CENTER,LUTHERAN MEDICAL CENTER,721687725,5,No,35
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,LUTHERAN MEDICAL CENTER,741684303.9,5,No,35
"ST FRANCIS HOSPITAL, ROSLYN",NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,30662314.78,5,No,35
ST JOSEPH HOSPITAL,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,29101528.08,5,No,35
MONTEFIORE MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),566366361.7,5,No,35
LINCOLN MEDICAL & MENTAL HEALTH CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),601870459.8,5,No,35
SOUTH NASSAU COMMUNITIES HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),566267133,5,No,35
HARLEM HOSPITAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),559176850.7,5,No,35
MERCY MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),507298633.9,5,No,35
EASTERN LONG ISLAND HOSPITAL,INTERFAITH MEDICAL CENTER,87964659.84,5,No,35
NORTH SHORE UNIVERSITY HOSPITAL,MOUNT SINAI HOSPITAL,1988917648,6,No,35
MONTEFIORE MEDICAL CENTER,NEW YORK-PRESBYTERIAN HOSPITAL,3455206186,6,No,35
MERCY MEDICAL CENTER,NORTH SHORE UNIVERSITY HOSPITAL,1576523597,6,No,35
SOUTH NASSAU COMMUNITIES HOSPITAL,JACOBI MEDICAL CENTER,275279446.9,6,No,35
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,JACOBI MEDICAL CENTER,240104370.8,6,No,35
HARLEM HOSPITAL CENTER,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,126498454.8,6,No,35
MOUNT SINAI HOSPITAL,LONG ISLAND JEWISH MEDICAL CENTER,1475629883,6,No,35
PLAINVIEW HOSPITAL,LONG BEACH MEDICAL CENTER,35873266.95,6,No,35
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,BROOKDALE HOSPITAL MEDICAL CENTER,224294484.5,6,No,35
LONG ISLAND JEWISH MEDICAL CENTER,HARLEM HOSPITAL CENTER,279314812.2,6,No,35
PECONIC BAY MEDICAL CENTER,INTERFAITH MEDICAL CENTER,97645966.41,6,No,35
QUEENS HOSPITAL CENTER,INTERFAITH MEDICAL CENTER,101345992.7,6,No,35
LONG ISLAND JEWISH MEDICAL CENTER,LENOX HILL HOSPITAL,2290562246,7,No,35
MERCY MEDICAL CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,1102643753,7,No,35
LENOX HILL HOSPITAL,MERCY MEDICAL CENTER,211576890.1,7,No,35
HOSPITAL FOR SPECIAL SURGERY,MERCY MEDICAL CENTER,205869912.8,7,No,35
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,HOSPITAL FOR SPECIAL SURGERY,1185647483,7,No,35
PECONIC BAY MEDICAL CENTER,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,621928689.2,7,No,35
LUTHERAN MEDICAL CENTER,NEW YORK DOWNTOWN HOSPITAL,212264850.6,8,No,35
LONG ISLAND JEWISH MEDICAL CENTER,EASTERN LONG ISLAND HOSPITAL,18622068.12,8,No,35
LENOX HILL HOSPITAL,NORTH SHORE UNIVERSITY HOSPITAL,3926993747,8,No,35
MERCY MEDICAL CENTER,LENOX HILL HOSPITAL,2300036114,8,No,35
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",PENINSULA HOSPITAL CENTER,53682236.3,4,No,36
UNIVERSITY HOSPITAL ( STONY BROOK ),PENINSULA HOSPITAL CENTER,55449837.13,4,No,36
PENINSULA HOSPITAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",54038819.33,4,No,36
LINCOLN MEDICAL & MENTAL HEALTH CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",62693015.5,4,No,36
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",56362901.24,4,No,36
NORTH SHORE UNIVERSITY HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59066585.85,4,No,36
PECONIC BAY MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59488554.11,4,No,36
SOUTH NASSAU COMMUNITIES HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",57279070.85,4,No,36
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",53639608.57,4,No,36
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",60100171.62,4,No,36
BELLEVUE HOSPITAL CENTER,MONTEFIORE MEDICAL CENTER,2433335359,4,No,36
HOSPITAL FOR SPECIAL SURGERY,LENOX HILL HOSPITAL,460514247,4,No,36
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),LENOX HILL HOSPITAL,445641056.6,4,No,36
BRONX-LEBANON HOSPITAL CENTER,LONG ISLAND COLLEGE HOSPITAL,141002018.8,4,No,36
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,METROPOLITAN HOSPITAL CENTER,142631554.1,4,No,36
NORTH CENTRAL BRONX HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,93222985.8,4,No,36
WINTHROP-UNIVERSITY HOSPITAL,BELLEVUE HOSPITAL CENTER,1037810523,4,No,36
"ST FRANCIS HOSPITAL, ROSLYN",BELLEVUE HOSPITAL CENTER,1049270113,4,No,36
CONEY ISLAND HOSPITAL,BROOKDALE HOSPITAL MEDICAL CENTER,410029519.5,4,No,36
GLEN COVE HOSPITAL,HARLEM HOSPITAL CENTER,236342319.4,4,No,36
KINGS COUNTY HOSPITAL CENTER,HARLEM HOSPITAL CENTER,214752499.5,4,No,36
NYU HOSPITALS CENTER,HARLEM HOSPITAL CENTER,226607845.4,4,No,36
NEW YORK METHODIST HOSPITAL,HARLEM HOSPITAL CENTER,212297653.3,4,No,36
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,HOSPITAL FOR SPECIAL SURGERY,488486680.7,4,No,36
MOUNT SINAI HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),529111031.4,4,No,36
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),539204705,4,No,36
BETH ISRAEL MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),536800106.3,4,No,36
MAIMONIDES MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),503304296.6,4,No,36
ST BARNABAS HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),543820567.4,4,No,36
ST JOSEPH HOSPITAL,FOREST HILLS HOSPITAL,60476952.12,4,No,36
NEW YORK DOWNTOWN HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,86833344.25,4,No,36
HUNTINGTON HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,524122098.7,4,No,36
MONTEFIORE MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,528435983.4,4,No,36
NEW YORK-PRESBYTERIAN HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,523704596.8,4,No,36
LENOX HILL HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,553745391.5,4,No,36
ELMHURST HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,561075388.8,4,No,36
STATEN ISLAND UNIVERSITY HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,524646679.2,4,No,36
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,554107207.4,4,No,36
LONG ISLAND JEWISH MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,537411214.1,4,No,36
LUTHERAN MEDICAL CENTER,INTERFAITH MEDICAL CENTER,149891282.7,4,No,36
HARLEM HOSPITAL CENTER,ST BARNABAS HOSPITAL,304479974.1,4,No,36
"ST FRANCIS HOSPITAL, ROSLYN",BRONX-LEBANON HOSPITAL CENTER,729129394.4,5,No,36
NYU HOSPITALS CENTER,MOUNT SINAI HOSPITAL,1882009759,5,No,36
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,HUNTINGTON HOSPITAL,208884144.5,5,No,36
LONG ISLAND JEWISH MEDICAL CENTER,HUNTINGTON HOSPITAL,213573503,5,No,36
GLEN COVE HOSPITAL,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,255216367.1,5,No,36
MAIMONIDES MEDICAL CENTER,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,260618007.2,5,No,36
HUNTINGTON HOSPITAL,LINCOLN MEDICAL & MENTAL HEALTH CENTER,776650388.3,5,No,36
JAMAICA HOSPITAL MEDICAL CENTER,JACOBI MEDICAL CENTER,226698741.7,5,No,36
SOUTH NASSAU COMMUNITIES HOSPITAL,JACOBI MEDICAL CENTER,249001559.6,5,No,36
LINCOLN MEDICAL & MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",531192765.2,5,No,36
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,"ST FRANCIS HOSPITAL, ROSLYN",522076628.4,5,No,36
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",563592308.6,5,No,36
WINTHROP-UNIVERSITY HOSPITAL,CONEY ISLAND HOSPITAL,128221015,5,No,36
BETH ISRAEL MEDICAL CENTER,BELLEVUE HOSPITAL CENTER,2486186494,5,No,36
KINGS COUNTY HOSPITAL CENTER,BELLEVUE HOSPITAL CENTER,2518769747,5,No,36
MERCY MEDICAL CENTER,NYU HOSPITALS CENTER,1013939808,5,No,36
NEW YORK METHODIST HOSPITAL,LONG BEACH MEDICAL CENTER,34051952.28,5,No,36
PECONIC BAY MEDICAL CENTER,QUEENS HOSPITAL CENTER,116275102.2,5,No,36
NEW YORK DOWNTOWN HOSPITAL,FRANKLIN HOSPITAL,60824759.29,5,No,36
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FRANKLIN HOSPITAL,61718478.01,5,No,36
MOUNT SINAI HOSPITAL,ST BARNABAS HOSPITAL,691956566.3,5,No,36
NORTH SHORE UNIVERSITY HOSPITAL,ST BARNABAS HOSPITAL,621395840.8,5,No,36
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,JAMAICA HOSPITAL MEDICAL CENTER,206066003.1,6,No,36
BETH ISRAEL MEDICAL CENTER,ELMHURST HOSPITAL CENTER,663776536.9,6,No,36
MERCY MEDICAL CENTER,BETH ISRAEL MEDICAL CENTER,1012590581,6,No,36
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,BETH ISRAEL MEDICAL CENTER,1088624276,6,No,36
NEW YORK-PRESBYTERIAN HOSPITAL,MAIMONIDES MEDICAL CENTER,1017644644,6,No,36
CONEY ISLAND HOSPITAL,MAIMONIDES MEDICAL CENTER,1019242908,6,No,36
LONG ISLAND JEWISH MEDICAL CENTER,CONEY ISLAND HOSPITAL,825662664.7,6,No,36
UNIVERSITY HOSPITAL ( STONY BROOK ),CONEY ISLAND HOSPITAL,790251205.9,6,No,36
LINCOLN MEDICAL & MENTAL HEALTH CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,652755918,6,No,36
WINTHROP-UNIVERSITY HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,664780146,6,No,36
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,MERCY MEDICAL CENTER,188353879.3,6,No,36
STATEN ISLAND UNIVERSITY HOSPITAL,MERCY MEDICAL CENTER,182716213,6,No,36
GLEN COVE HOSPITAL,MERCY MEDICAL CENTER,187361013.7,6,No,36
EASTERN LONG ISLAND HOSPITAL,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,39193980.11,6,No,36
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,ST LUKE'S ROOSEVELT HOSPITAL,578633999.6,7,No,36
UNIVERSITY HOSPITAL ( STONY BROOK ),STATEN ISLAND UNIVERSITY HOSPITAL,931449077.3,7,No,36
NEW YORK-PRESBYTERIAN HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",649629003.4,7,No,36
LINCOLN MEDICAL & MENTAL HEALTH CENTER,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,659433217,7,No,36
STATEN ISLAND UNIVERSITY HOSPITAL,LONG ISLAND JEWISH MEDICAL CENTER,1190010140,7,No,36
HOSPITAL FOR SPECIAL SURGERY,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,557245357.7,7,No,36
HOSPITAL FOR SPECIAL SURGERY,LINCOLN MEDICAL & MENTAL HEALTH CENTER,819844320.7,8,No,36
UNIVERSITY HOSPITAL ( STONY BROOK ),LINCOLN MEDICAL & MENTAL HEALTH CENTER,836986180.8,8,No,36
LINCOLN MEDICAL & MENTAL HEALTH CENTER,STATEN ISLAND UNIVERSITY HOSPITAL,1165567529,8,No,36
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,ST CHARLES HOSPITAL,77462488.23,8,No,36
GLEN COVE HOSPITAL,ST CATHERINE OF SIENA HOSPITAL,98823409.13,8,No,36
NEW YORK DOWNTOWN HOSPITAL,WYCKOFF HEIGHTS MEDICAL CENTER,189912886.5,9,No,36
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,ST CATHERINE OF SIENA HOSPITAL,93452495.77,9,No,36
GLEN COVE HOSPITAL,ST CATHERINE OF SIENA HOSPITAL,93372883.45,9,No,36
NEW YORK METHODIST HOSPITAL,ST CATHERINE OF SIENA HOSPITAL,94161939.92,9,No,36
NEW YORK DOWNTOWN HOSPITAL,PENINSULA HOSPITAL CENTER,60919924.72,4,No,37
LUTHERAN MEDICAL CENTER,PENINSULA HOSPITAL CENTER,61490170.25,4,No,37
NORTH CENTRAL BRONX HOSPITAL,PENINSULA HOSPITAL CENTER,62978552.15,4,No,37
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,BRONX-LEBANON HOSPITAL CENTER,509865198.7,4,No,37
GLEN COVE HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,509934871.5,4,No,37
ST BARNABAS HOSPITAL,BRONX-LEBANON HOSPITAL CENTER,505665058.6,4,No,37
PENINSULA HOSPITAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59349232.55,4,No,37
EASTERN LONG ISLAND HOSPITAL,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",59755428.44,4,No,37
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",64074175.16,4,No,37
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",55867996.54,4,No,37
BRONX-LEBANON HOSPITAL CENTER,LONG ISLAND COLLEGE HOSPITAL,148712027.3,4,No,37
MAIMONIDES MEDICAL CENTER,WINTHROP-UNIVERSITY HOSPITAL,768422332,4,No,37
SOUTH NASSAU COMMUNITIES HOSPITAL,WINTHROP-UNIVERSITY HOSPITAL,800591844.9,4,No,37
HOSPITAL FOR SPECIAL SURGERY,WINTHROP-UNIVERSITY HOSPITAL,755684262.6,4,No,37
UNIVERSITY HOSPITAL ( STONY BROOK ),"ST FRANCIS HOSPITAL, ROSLYN",480945274.9,4,No,37
ST JOSEPH HOSPITAL,FLUSHING HOSPITAL MEDICAL CENTER,88155996.91,4,No,37
HUNTINGTON HOSPITAL,MAIMONIDES MEDICAL CENTER,815521016.1,4,No,37
STATEN ISLAND UNIVERSITY HOSPITAL,CONEY ISLAND HOSPITAL,178955475.4,4,No,37
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,CONEY ISLAND HOSPITAL,195115402.2,4,No,37
NEW YORK METHODIST HOSPITAL,CONEY ISLAND HOSPITAL,173885962.9,4,No,37
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,CONEY ISLAND HOSPITAL,161420420.3,4,No,37
MONTEFIORE MEDICAL CENTER,SOUTH NASSAU COMMUNITIES HOSPITAL,316854843.1,4,No,37
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",KINGSBROOK JEWISH MEDICAL CENTER,86283629.95,4,No,37
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NEW YORK METHODIST HOSPITAL,566607084.7,4,No,37
NORTH SHORE UNIVERSITY HOSPITAL,NEW YORK METHODIST HOSPITAL,608414654.7,4,No,37
WINTHROP-UNIVERSITY HOSPITAL,NEW YORK METHODIST HOSPITAL,583515575.7,4,No,37
CONEY ISLAND HOSPITAL,NEW YORK METHODIST HOSPITAL,597331018.6,4,No,37
LONG ISLAND JEWISH MEDICAL CENTER,LUTHERAN MEDICAL CENTER,391127933.7,4,No,37
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,LUTHERAN MEDICAL CENTER,376461674,4,No,37
MOUNT SINAI HOSPITAL,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),516609085.9,4,No,37
NYU HOSPITALS CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),534190369.7,4,No,37
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FOREST HILLS HOSPITAL,57446057.47,4,No,37
PECONIC BAY MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,90180479.11,4,No,37
NEW YORK-PRESBYTERIAN HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),896245158.9,4,No,37
LENOX HILL HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,553047263.9,4,No,37
ELMHURST HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,566886388.1,4,No,37
BETH ISRAEL MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,561553217.9,4,No,37
